Id,LotShape,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,OverallQual,OverallCond,SalePrice
1,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,7,5,208500
2,Reg,Gtl,TA,TA,Gd,TA,Gd,ALQ,Unf,Ex,TA,Typ,TA,RFn,TA,TA,Y,NA,NA,6,8,181500
3,IR1,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,7,5,223500
4,IR1,Gtl,TA,TA,TA,Gd,No,ALQ,Unf,Gd,Gd,Typ,Gd,Unf,TA,TA,Y,NA,NA,7,5,140000
5,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,Gd,Typ,TA,RFn,TA,TA,Y,NA,NA,8,5,250000
6,IR1,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,5,143000
7,Reg,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,307000
8,IR1,Gtl,TA,TA,Gd,TA,Mn,ALQ,BLQ,Ex,TA,Typ,TA,RFn,TA,TA,Y,NA,NA,7,6,200000
9,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,TA,Min1,TA,Unf,Fa,TA,Y,NA,NA,7,5,129900
10,Reg,Gtl,TA,TA,TA,TA,No,GLQ,Unf,Ex,TA,Typ,TA,RFn,Gd,TA,Y,NA,NA,5,6,118000
11,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,129500
12,IR1,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,Ex,Typ,Gd,Fin,TA,TA,Y,NA,NA,9,5,345000
13,IR2,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,5,6,144000
14,IR1,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,7,5,279500
15,IR1,Gtl,TA,TA,TA,TA,No,BLQ,Unf,TA,TA,Typ,Fa,RFn,TA,TA,Y,NA,GdWo,6,5,157000
16,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,TA,Typ,NA,Unf,TA,TA,Y,NA,GdPrv,7,8,132000
17,IR1,Gtl,TA,TA,TA,TA,No,ALQ,Unf,Ex,TA,Typ,TA,Fin,TA,TA,Y,NA,NA,6,7,149000
18,Reg,Gtl,TA,TA,NA,NA,NA,NA,NA,TA,TA,Typ,NA,Unf,TA,TA,Y,NA,NA,4,5,90000
19,Reg,Gtl,TA,TA,TA,TA,No,GLQ,Unf,Ex,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,5,5,159000
20,Reg,Gtl,TA,TA,TA,TA,No,LwQ,Unf,TA,TA,Min1,NA,Unf,TA,TA,Y,NA,MnPrv,5,6,139000
21,IR1,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,325300
22,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,Unf,TA,TA,N,NA,GdPrv,7,7,139400
23,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,230000
24,Reg,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,TA,TA,Typ,TA,Unf,TA,TA,Y,NA,NA,5,7,129900
25,IR1,Gtl,TA,Gd,TA,TA,Mn,Rec,ALQ,Ex,Gd,Typ,TA,Unf,TA,TA,Y,NA,MnPrv,5,8,154000
26,Reg,Gtl,Gd,TA,Gd,TA,No,Unf,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,256300
27,Reg,Gtl,TA,TA,TA,TA,Mn,BLQ,Rec,TA,Gd,Typ,NA,Unf,TA,TA,Y,NA,NA,5,7,134800
28,Reg,Gtl,Gd,TA,Ex,TA,No,GLQ,Unf,Ex,Gd,Typ,Gd,RFn,TA,TA,Y,NA,NA,8,5,306000
29,IR1,Gtl,TA,TA,TA,TA,Gd,BLQ,Unf,TA,TA,Typ,Gd,RFn,TA,TA,Y,NA,NA,5,6,207500
30,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,Fa,Fa,Typ,NA,Unf,Fa,TA,Y,NA,NA,4,6,68500
31,Reg,Gtl,TA,Fa,TA,TA,No,Unf,Unf,TA,TA,Typ,NA,Unf,TA,Fa,N,NA,MnPrv,4,4,40000
32,IR1,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,Gd,Typ,NA,Unf,TA,TA,Y,NA,MnPrv,5,6,149350
33,Reg,Gtl,Gd,TA,Ex,TA,Av,Unf,Unf,Ex,Gd,Typ,NA,RFn,TA,TA,Y,NA,NA,8,5,179900
