Date,AverageSalePrice
2006-01-01,201090.0
2006-02-01,194322.22222222222
2006-03-01,184982.2
2006-04-01,174312.8148148148
2006-05-01,158928.2894736842
2006-06-01,172283.33333333334
2006-07-01,183211.05970149254
2006-08-01,196239.95652173914
2006-09-01,223768.86666666667
2006-10-01,172356.70833333334
2006-11-01,213285.0
2006-12-01,185545.0
2007-01-01,183234.61538461538
2007-02-01,176301.75
2007-03-01,176567.78260869565
2007-04-01,170772.60869565216
2007-05-01,169873.51162790696
2007-06-01,179725.81355932204
2007-07-01,195396.8431372549
2007-08-01,183941.075
2007-09-01,195533.81818181818
2007-10-01,215428.8125
2007-11-01,197709.33333333334
2007-12-01,214414.5
2008-01-01,178504.6923076923
2008-02-01,159370.0
2008-03-01,178505.27777777778
2008-04-01,159293.34615384616
2008-05-01,188334.47368421053
2008-06-01,169730.9411764706
2008-07-01,174562.6530612245
2008-08-01,196076.9655172414
2008-09-01,169626.4705882353
2008-10-01,166690.63636363635
2008-11-01,210981.0588235294
2008-12-01,175600.0
2009-01-01,189735.5
2009-02-01,187450.0
2009-03-01,171547.36842105264
2009-04-01,181680.76923076922
2009-05-01,164482.94594594595
2009-06-01,183260.93220338982
2009-07-01,197984.40983606558
2009-08-01,165670.96666666667
2009-09-01,196849.35
2009-10-01,175206.59259259258
2009-11-01,156381.81818181818
2009-12-01,164014.53333333333
2010-01-01,163852.6
2010-02-01,174823.33333333334
2010-03-01,203181.2857142857
2010-04-01,171344.02564102566
2010-05-01,178422.25
2010-06-01,181639.58333333334
2010-07-01,121750.0
