Id,LotShape_code,LandSlope_code,ExterQual_code,ExterCond_code,BsmtQual_code,BsmtCond_code,BsmtExposure_code,BsmtFinType1_code,BsmtFinType2_code,HeatingQC_code,KitchenQual_code,Functional_code,FireplaceQu_code,GarageFinish_code,GarageQual_code,GarageCond_code,PavedDrive_code,PoolQC_code,Fence_code,SalePrice
1,4,3,4,3,4.0,3.0,1.0,5.0,0.0,5,4,8,0.0,2.0,3.0,3.0,2,0.0,0.0,208500
2,4,3,3,3,4.0,3.0,4.0,4.0,0.0,5,3,8,3.0,2.0,3.0,3.0,2,0.0,0.0,181500
3,3,3,4,3,4.0,3.0,2.0,5.0,0.0,5,4,8,3.0,2.0,3.0,3.0,2,0.0,0.0,223500
4,3,3,3,3,3.0,4.0,1.0,4.0,0.0,4,4,8,4.0,1.0,3.0,3.0,2,0.0,0.0,140000
5,3,3,4,3,4.0,3.0,3.0,5.0,0.0,5,4,8,3.0,2.0,3.0,3.0,2,0.0,0.0,250000
6,3,3,3,3,4.0,3.0,1.0,5.0,0.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,2.0,143000
7,4,3,4,3,5.0,3.0,3.0,5.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,307000
8,3,3,3,3,4.0,3.0,2.0,4.0,3.0,5,3,8,3.0,2.0,3.0,3.0,2,0.0,0.0,200000
9,4,3,3,3,3.0,3.0,1.0,0.0,0.0,4,3,7,3.0,1.0,2.0,3.0,2,0.0,0.0,129900
10,4,3,3,3,3.0,3.0,1.0,5.0,0.0,5,3,8,3.0,2.0,4.0,3.0,2,0.0,0.0,118000
11,4,3,3,3,3.0,3.0,1.0,2.0,0.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,129500
12,3,3,5,3,5.0,3.0,1.0,5.0,0.0,5,5,8,4.0,3.0,3.0,3.0,2,0.0,0.0,345000
13,2,3,3,3,3.0,3.0,1.0,4.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,144000
14,3,3,4,3,4.0,3.0,3.0,0.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,279500
15,3,3,3,3,3.0,3.0,1.0,3.0,0.0,3,3,8,2.0,2.0,3.0,3.0,2,0.0,3.0,157000
16,4,3,3,3,3.0,3.0,1.0,0.0,0.0,5,3,8,0.0,1.0,3.0,3.0,2,0.0,4.0,132000
17,3,3,3,3,3.0,3.0,1.0,4.0,0.0,5,3,8,3.0,3.0,3.0,3.0,2,0.0,0.0,149000
18,4,3,3,3,0.0,0.0,0.0,0.0,0.0,3,3,8,0.0,1.0,3.0,3.0,2,0.0,0.0,90000
19,4,3,3,3,3.0,3.0,1.0,5.0,0.0,5,4,8,0.0,1.0,3.0,3.0,2,0.0,0.0,159000
20,4,3,3,3,3.0,3.0,1.0,1.0,0.0,3,3,7,0.0,1.0,3.0,3.0,2,0.0,2.0,139000
21,3,3,4,3,5.0,3.0,3.0,0.0,0.0,5,4,8,4.0,2.0,3.0,3.0,2,0.0,0.0,325300
